model,accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
Majority Class Baseline,0.7073,0.0,0.0,1.0,0.0,0.5,0.2927,7976,0,3301,0
Logistic Regression,0.768,0.7393,0.3205,0.9532,0.4472,0.7525,0.5947,7603,373,2243,1058
Random Forest,0.7639,0.6952,0.3441,0.9376,0.4604,0.7504,0.5839,7478,498,2165,1136
Decision Tree,0.7575,0.676,0.3293,0.9347,0.4429,0.7359,0.5616,7455,521,2214,1087
CatBoost,0.7658,0.7083,0.3399,0.9421,0.4594,0.7584,0.5947,7514,462,2179,1122
XGBoost,0.7675,0.7172,0.3396,0.9446,0.4609,0.757,0.5913,7534,442,2180,1121
CatBoost (threshold=0.25),0.6642,0.4538,0.7228,0.6399,0.5575,0.7584,0.5947,5104,2872,915,2386
