feature,mean_absolute_shap_value
log_user_transaction_count_before_cart,0.22110615523871405
user_prior_purchase_share,0.2049336786591972
prior_pair_view_share,0.18372247568162087
prior_pair_interaction_span_minutes,0.17278998061405462
cart_hour,0.12074634673587935
item_prior_purchase_share,0.10176480584137657
cart_dayofweek,0.08459096788211752
log_user_addtocart_count_before_cart,0.08089934194700851
user_prior_cart_share,0.07260924703413456
log_user_view_count_before_cart,0.06636784749164647
log_item_view_count_before_cart,0.05753621299722964
prior_pair_recency_minutes,0.04710749112948403
item_prior_cart_share,0.03857193146872873
log_item_event_count_before_cart,0.0366093065182744
log_prior_pair_view_count,0.032487180169891314
has_prior_pair_interaction,0.03180634616785259
log_user_event_count_before_cart,0.0317103051198427
missing_prior_pair_timing,0.027694528385809627
log_item_transaction_count_before_cart,0.02764009562506287
cart_month,0.019579525792627426
log_prior_pair_event_count,0.018472193511226045
log_item_addtocart_count_before_cart,0.008707267994974274
log_prior_pair_transaction_count,0.0056748060397418445
